Cuenta,Contacto,Puesto,Celular,Correo_electronico,Stage,Visitas_Web,Emails_Abiertos,Llamadas_Realizadas,Presupuesto_Estimado,Sector,Tamaño_Empresa,Antiguedad_Cuenta_Meses,Interacciones_Totales,Cliente
Johnson and Sons,Wendy Riggs,Consultor,142647106,wstephenson@example.org,closing,6,1,2,35130,Retail,Mediana,9,9,1
"Woods, Hubbard and Patel",Dr. Carl Mcpherson MD,CEO,290789970,christopherford@example.com,negotiating,6,1,1,4317,Educación,Mediana,28,8,0
Davis-Pruitt,Sarah Riggs,Especialista de Producto,878422685,echarles@example.com,qualifying,2,2,1,39599,Retail,Pequeña,16,5,0
Vazquez Ltd,Anthony Mayo,Consultor,745338833,brendahunter@example.net,closing,6,2,0,13427,Salud,Pequeña,27,8,0
Price LLC,Kristin Pena,CTO,059999018,lstevens@example.org,selling,6,2,0,47672,Manufactura,Mediana,3,8,0
Lyons LLC,Michael Jones,Consultor,614127764,gonzalezpeter@example.org,selling,1,0,0,6729,Retail,Mediana,29,1,0
Montoya PLC,Charles Johnson,Ejecutivo de Ventas,758069852,jackiemarsh@example.net,negotiating,3,0,1,44534,Retail,Mediana,7,4,0
Hughes Group,Taylor Scott,Gerente de Marketing,414742697,melvin51@example.org,qualifying,6,1,0,22771,Servicios,Pequeña,37,7,0
Price Ltd,Jennifer Martin,Especialista de Producto,298069901,greenmark@example.com,selling,7,3,1,21450,Tecnología,Pequeña,14,11,1
Scott and Sons,Dennis Hill,CEO,212586062,flemingbrandon@example.net,closing,3,0,1,24224,Servicios,Pequeña,30,4,0
"Sanchez, Rodgers and Skinner",Ashley Jones,Gerente de Marketing,760045998,kelsey25@example.net,selling,7,0,1,49954,Servicios,Pequeña,34,8,0
Little-Williams,Jennifer Noble,Especialista de Producto,395716201,carrolllauren@example.com,qualifying,8,2,0,12051,Salud,Mediana,21,10,0
"Lewis, Knapp and Ward",Jeffrey Diaz,Ejecutivo de Ventas,556941781,sheilavargas@example.com,qualifying,2,1,0,483,Manufactura,Mediana,5,3,0
"Mccoy, Green and Douglas",Timothy Hill,Consultor,887581893,timothy50@example.com,selling,2,3,1,28189,Retail,Pequeña,44,6,0
Gardner-Pruitt,Elizabeth Morse,CEO,184606216,vargaskatie@example.net,selling,2,4,0,2807,Educación,Pequeña,15,6,0
"Potter, Preston and Smith",Carmen Gross,Ejecutivo de Ventas,901619610,bradleymunoz@example.com,closing,6,0,0,36201,Educación,Pequeña,26,6,0
Anderson-Dennis,Jonathan Jackson,Analista,761270570,charleslopez@example.net,selling,3,3,0,37785,Tecnología,Grande,43,6,0
Moore-Johnson,Duane Morris,CTO,034230595,william58@example.net,closing,2,0,0,36101,Manufactura,Grande,43,2,0
Archer-Davis,Devin Gutierrez,Consultor,005929374,ricky59@example.com,negotiating,2,3,2,40356,Retail,Pequeña,45,7,0
"Austin, Munoz and Dudley",Tiffany Figueroa,CTO,150756120,tmyers@example.net,negotiating,5,1,2,43398,Tecnología,Pequeña,45,8,0
"Sullivan, Grimes and Gilmore",Robert Miller,Analista,724168584,garrettteresa@example.com,closing,3,5,0,34013,Manufactura,Pequeña,16,8,0
"Mcconnell, Miller and Mitchell",Keith Aguilar,CTO,068780293,vli@example.org,closing,3,1,0,25417,Servicios,Grande,30,4,0
Gallagher-Ware,Taylor Gallagher,Analista,341876098,rnelson@example.com,closing,6,5,2,36696,Salud,Pequeña,3,13,0
"Phelps, Malone and Jacobs",Catherine Ferrell,Ejecutivo de Ventas,854268776,chadjordan@example.net,closing,1,5,0,32463,Tecnología,Pequeña,44,6,0
"Livingston, Kim and Ellison",Sean Nelson,CTO,978146370,stephensonlinda@example.net,qualifying,5,3,0,3090,Tecnología,Grande,18,8,0
"Martinez, Fisher and Moore",Crystal Mills,CEO,167408509,elizabethwilliams@example.com,closing,7,3,1,48998,Servicios,Grande,40,11,0
"Erickson, Bailey and Lee",Alexander Murray,CEO,967208070,alecvalenzuela@example.net,qualifying,2,4,0,1187,Manufactura,Pequeña,7,6,0
Lopez PLC,Brent Reynolds,CEO,984927662,ariel32@example.com,selling,5,1,2,41965,Tecnología,Mediana,45,8,0
"Smith, Fisher and Torres",April Rice,Especialista de Producto,075916992,bishopjoshua@example.com,closing,1,2,0,18462,Manufactura,Grande,33,3,0
Becker-Floyd,Shawn Tanner,Consultor,122877772,mcastro@example.net,qualifying,7,1,0,25273,Servicios,Pequeña,27,8,0
Medina and Sons,Robin Mcconnell,Ejecutivo de Ventas,140534987,caleb47@example.net,qualifying,4,2,1,3098,Salud,Pequeña,10,7,0
Foster-Simpson,Cynthia Mccullough,Consultor,124680518,jamesturner@example.com,negotiating,1,3,0,28962,Servicios,Mediana,25,4,0
"Gilmore, Lee and Trujillo",Amanda Reyes,Especialista de Producto,741600843,frederickleonard@example.org,qualifying,6,5,0,36637,Servicios,Mediana,9,11,0
"Douglas, Hines and Mcneil",George Hernandez,Consultor,980470789,vsimpson@example.org,selling,5,5,0,13778,Servicios,Mediana,10,10,0
Camacho and Sons,Benjamin Brooks,Analista,442200075,tbennett@example.com,qualifying,3,8,1,46168,Tecnología,Pequeña,44,12,0
Allen Inc,Keith Wilson,CEO,756242750,ajohnson@example.net,qualifying,2,3,1,49259,Retail,Mediana,34,6,0
"Miller, Rangel and Taylor",William Jensen,CEO,176833395,bradley78@example.com,negotiating,3,2,2,3286,Salud,Pequeña,4,7,0
Richard Inc,Erin King,Analista,326537464,marshallkeith@example.com,negotiating,6,1,0,46589,Retail,Mediana,8,7,0
Walker-Mooney,Albert Campbell,Gerente de Marketing,715709165,stephanie84@example.com,closing,0,0,1,42526,Tecnología,Pequeña,38,1,0
"Mendez, Buckley and Stephens",Mark Davis,Ejecutivo de Ventas,452770508,russell44@example.net,closing,0,1,1,6822,Tecnología,Mediana,25,2,0
Fernandez Ltd,Michael White,CTO,015346602,jesusbrown@example.com,qualifying,1,3,0,45590,Manufactura,Pequeña,40,4,0
"Williams, Flynn and Chandler",Todd Waters,Consultor,987769249,gregorywheeler@example.com,closing,5,4,0,7231,Tecnología,Pequeña,38,9,0
Roberts-Sanders,Lindsay Perez,Consultor,189579417,youngjacqueline@example.com,negotiating,4,1,3,21236,Salud,Pequeña,43,8,0
Moody Ltd,Paul Sharp,Gerente de Marketing,680715579,amy67@example.org,negotiating,4,1,0,10668,Retail,Grande,38,5,0
"Johnson, Olson and Hunter",Mary Lee,CTO,857586221,lchambers@example.net,negotiating,4,1,1,12207,Salud,Mediana,21,6,0
Chaney-Kelley,Samantha Pena,Gerente de Marketing,193339039,willisclifford@example.net,qualifying,4,1,0,19221,Retail,Mediana,43,5,0
"Herrera, Smith and Martinez",Joseph Peterson,Especialista de Producto,274609232,crystalmartinez@example.net,negotiating,2,0,0,26786,Salud,Mediana,33,2,0
"Martinez, Gaines and Rivera",Rodney Kerr,CEO,019600126,obrienmichael@example.com,qualifying,2,2,2,25117,Salud,Mediana,34,6,0
"Torres, Hudson and Bell",Mariah Brown,Ejecutivo de Ventas,206362808,richard78@example.net,negotiating,4,4,0,21356,Retail,Pequeña,14,8,0
Woods Inc,Kimberly Small,Consultor,558928399,lauren73@example.org,negotiating,6,2,1,6863,Retail,Mediana,37,9,0
Thompson-Soto,Darrell Chase,CEO,939020014,justinphillips@example.com,negotiating,1,0,0,5337,Tecnología,Pequeña,19,1,0
"Frazier, Cooper and Palmer",Peter Stewart,Especialista de Producto,160075865,opalmer@example.org,closing,5,5,0,38210,Educación,Pequeña,47,10,0
Nichols Inc,Jeanette Riley,Consultor,122207688,jeffrey58@example.com,closing,5,4,0,32381,Tecnología,Grande,15,9,0
Williams Group,Jennifer Huff,Analista,851241658,andersengabrielle@example.com,selling,6,0,0,3099,Salud,Mediana,25,6,0
Miller LLC,Nicole Chen,Gerente de Marketing,254541535,lopezkari@example.com,closing,3,3,0,19227,Servicios,Pequeña,17,6,0
"Davis, Tran and Lane",Christy Odonnell,CEO,862884680,alisha13@example.org,selling,4,3,2,4736,Salud,Grande,38,9,0
"Meyer, Phillips and King",Susan Malone,Analista,963778527,pramirez@example.org,selling,6,0,0,15237,Educación,Pequeña,7,6,0
Pugh-Hernandez,Steven Vargas,CEO,694280370,bowmanbrent@example.net,negotiating,2,4,0,13812,Servicios,Pequeña,47,6,0
"Williams, Dillon and Warren",Nicholas Ford,CEO,572614413,stephenmullins@example.org,selling,4,4,0,41038,Retail,Mediana,38,8,0
Schroeder LLC,Jacob Haas,Gerente de Marketing,905627549,lawrence49@example.org,selling,5,5,1,5300,Servicios,Pequeña,14,11,0
Lindsey-Barnett,Christine Davis,CEO,375585404,amy04@example.net,selling,7,1,1,10362,Educación,Mediana,44,9,0
Berger Group,Scott Delacruz,Ejecutivo de Ventas,045834271,lindabishop@example.org,negotiating,2,3,0,17165,Tecnología,Mediana,4,5,0
Guzman LLC,Anthony Cook,Gerente de Marketing,196771394,philip30@example.com,closing,2,1,0,51105,Tecnología,Mediana,11,3,0
Price and Sons,Alexander Hartman,Ejecutivo de Ventas,635655374,youngnathan@example.net,closing,2,0,0,47316,Educación,Mediana,20,2,0
Young-Garcia,Matthew Mcconnell,Analista,953315991,carpenterlatoya@example.net,selling,7,1,2,17609,Manufactura,Mediana,16,10,0
Harris PLC,Joshua Santos,CTO,806514296,nicolas49@example.net,qualifying,4,0,3,19292,Retail,Pequeña,5,7,0
Gonzalez LLC,Danielle Barnett,Consultor,264699049,rbailey@example.com,qualifying,3,4,0,29431,Educación,Grande,23,7,0
White and Sons,Michael Travis,CTO,577024321,jeanneblake@example.org,negotiating,1,2,1,24320,Educación,Pequeña,21,4,0
Williams and Sons,Jimmy Lewis,CEO,917689018,holsen@example.com,negotiating,7,1,0,24371,Servicios,Mediana,38,8,0
Mitchell PLC,Cheryl Nelson,Especialista de Producto,049627152,ljohnson@example.com,selling,5,3,0,47313,Educación,Pequeña,12,8,0
Smith PLC,Angel Rose,Ejecutivo de Ventas,692154965,margaretcollins@example.com,closing,3,2,1,41583,Tecnología,Pequeña,1,6,0
"Edwards, Sims and Pham",Gregory Branch,Consultor,884610094,kburnett@example.com,qualifying,3,0,1,47464,Retail,Mediana,35,4,0
"Randolph, Williams and White",Jessica Cox,Consultor,537633639,drodriguez@example.net,closing,0,0,0,8731,Servicios,Grande,34,0,0
"Jones, Rodriguez and Valdez",Nathan Matthews,Ejecutivo de Ventas,508435860,tannersanders@example.com,selling,3,4,1,46918,Tecnología,Mediana,26,8,0
Morgan-Vega,Tyler Pruitt,Gerente de Marketing,176464489,richardsonangela@example.net,negotiating,4,3,1,11954,Servicios,Pequeña,38,8,1
"Strong, Drake and Young",Angela Barton,Analista,366497306,glopez@example.com,qualifying,4,1,2,51457,Manufactura,Mediana,29,7,0
Holland and Sons,Philip Massey,Gerente de Marketing,073109129,gonzalezdaniel@example.net,selling,2,0,0,25210,Manufactura,Grande,26,2,0
George-Smith,Stacy Long,CEO,626720642,cassidyavila@example.net,closing,5,2,1,32997,Servicios,Pequeña,9,8,0
Gibson-Young,Cindy Thompson,Consultor,677325667,mcclureteresa@example.net,selling,5,0,0,11478,Educación,Pequeña,12,5,0
"Livingston, Miller and Gibson",Rachel Martinez,CTO,032598994,ghill@example.org,selling,2,2,0,31886,Manufactura,Pequeña,16,4,0
"King, Richardson and Lin",Stephen Stokes,Consultor,057685344,andrea02@example.org,qualifying,5,1,1,46765,Salud,Pequeña,18,7,0
Gardner-Mcmillan,Linda Rowland,Especialista de Producto,241803312,marie08@example.net,selling,0,0,2,23172,Tecnología,Mediana,15,2,0
Bennett-Johnson,John Stokes,Ejecutivo de Ventas,845327694,riosandrew@example.org,qualifying,3,2,0,35496,Manufactura,Pequeña,21,5,0
"Fischer, Hall and Wiggins",Edward Roy,CEO,204379196,katelyn60@example.net,qualifying,2,3,1,39471,Tecnología,Mediana,31,6,0
Robinson-Miller,Angel Anderson,Analista,150795675,brandonwalker@example.com,negotiating,5,1,0,34527,Tecnología,Mediana,25,6,0
"Harding, Lewis and Khan",Dennis Bennett,Gerente de Marketing,668863911,kstevens@example.net,selling,2,1,0,2635,Servicios,Mediana,6,3,0
Lopez-Mejia,Justin Grant,CTO,613728567,mbrown@example.org,closing,3,2,1,11340,Salud,Pequeña,35,6,0
Moyer Group,William King,CEO,977206402,henryjulie@example.org,closing,2,4,0,3184,Tecnología,Pequeña,17,6,0
Love and Sons,Mackenzie Ochoa,Consultor,069296453,hsparks@example.com,closing,1,2,0,3982,Retail,Mediana,23,3,0
Key-Frederick,Mrs. Tonya Brown,Ejecutivo de Ventas,163176920,william53@example.net,selling,7,0,2,32383,Salud,Pequeña,43,9,0
"Nelson, Arellano and Stein",Christian Hanson,Ejecutivo de Ventas,397400527,mellis@example.net,negotiating,3,3,2,15084,Educación,Pequeña,6,8,0
"Lopez, Olson and Nelson",Jeffrey Wilkinson,Analista,573564549,gonzalezphyllis@example.org,closing,0,2,0,9930,Tecnología,Pequeña,28,2,0
"Thomas, Lyons and Perez",Charles Maldonado,Ejecutivo de Ventas,199110887,richardscarl@example.org,qualifying,4,2,0,-566,Salud,Grande,8,6,0
Hayden Inc,Marissa Williams,Consultor,142204685,xreed@example.com,selling,2,1,0,16280,Salud,Grande,42,3,0
"Morales, Roman and Ferguson",Ronald Kramer,Gerente de Marketing,770089550,patriciawells@example.com,closing,5,3,2,44032,Tecnología,Mediana,17,10,0
"Davis, Lopez and Ward",Karen Griffin,Especialista de Producto,309952688,jonescaleb@example.net,selling,6,1,0,47862,Retail,Pequeña,24,7,0
Palmer Inc,Chad Daniel,Consultor,523276180,gardnerashley@example.net,qualifying,4,2,1,35538,Salud,Mediana,33,7,0
"Berry, Williams and Davis",Adam Bradley,Especialista de Producto,095671116,amanda70@example.com,selling,2,3,0,18291,Retail,Pequeña,22,5,0
Fischer-Stewart,David Bass,Analista,253685864,lisa93@example.net,negotiating,2,3,0,46530,Retail,Pequeña,33,5,0
Bass Group,Maureen Bush,Ejecutivo de Ventas,968836301,sanderssharon@example.com,selling,4,1,0,23273,Salud,Pequeña,21,5,0
Thomas Ltd,Tyler Rodriguez,Consultor,825222991,romanlisa@example.org,closing,5,0,0,23063,Retail,Pequeña,47,5,0
"Parker, Barrett and Owen",Kimberly Patel,CTO,250268860,paul07@example.org,qualifying,6,3,1,5786,Manufactura,Mediana,20,10,0
Marquez LLC,Nathaniel Lewis,Gerente de Marketing,481499191,hayeskristen@example.org,closing,3,1,0,22573,Tecnología,Pequeña,42,4,0
Lloyd-Holland,Cynthia Allen,Consultor,259854144,tcannon@example.com,qualifying,3,0,0,32011,Salud,Mediana,7,3,0
"Hodge, Smith and Alvarado",Jill Foster,CEO,889966044,gina68@example.com,negotiating,5,0,0,13675,Tecnología,Mediana,40,5,0
Rhodes-Nelson,Vanessa Ferguson,CEO,643163761,russellgarcia@example.com,negotiating,5,1,1,24393,Salud,Pequeña,35,7,0
"Chambers, Edwards and Good",Jeffery Ramos,Gerente de Marketing,396286338,qjohnson@example.org,closing,1,1,0,33477,Manufactura,Pequeña,5,2,0
"Carroll, Dunlap and Powell",Amy Case,Analista,640239289,cmonroe@example.com,closing,1,0,0,33588,Educación,Grande,6,1,0
Robinson and Sons,Tammy Webb,Consultor,647090482,ycole@example.com,negotiating,6,3,0,17651,Manufactura,Pequeña,6,9,0
Keith Inc,Karen Smith,CEO,108603315,ferrelldawn@example.net,qualifying,4,1,0,22256,Tecnología,Mediana,19,5,0
Cruz Ltd,Diana Berry,Gerente de Marketing,062631589,wheelerjesse@example.net,negotiating,1,2,1,18712,Tecnología,Grande,27,4,0
"Arnold, Russell and Becker",John Kennedy,CEO,897217441,hollowayolivia@example.net,selling,8,3,0,9410,Tecnología,Pequeña,36,11,0
"Johnson, Williams and Mitchell",Jennifer Gomez,Ejecutivo de Ventas,762426622,walkerkimberly@example.org,negotiating,2,2,3,42308,Educación,Pequeña,40,7,0
Smith Ltd,Ellen Gibson,Ejecutivo de Ventas,490230771,angelasmith@example.org,closing,6,1,3,27823,Retail,Grande,22,10,0
"Blake, Moore and Brown",Tara Johnson,Consultor,888875544,hmartin@example.com,selling,3,2,0,30205,Educación,Mediana,26,5,0
"Johnson, Gallagher and Buchanan",Bryan Baxter,CEO,590591975,burtontravis@example.org,closing,1,1,0,14694,Manufactura,Pequeña,25,2,0
Martin LLC,Karen Brock,Especialista de Producto,261989486,victoria87@example.com,closing,5,3,0,14151,Educación,Grande,41,8,0
Andrews-Cortez,Marissa Wilson,Especialista de Producto,920007638,pharris@example.net,selling,2,3,0,21603,Servicios,Pequeña,24,5,0
Brown Ltd,Timothy Reynolds,CTO,056876734,tiffany41@example.com,selling,5,2,1,21654,Manufactura,Pequeña,45,8,0
Jones PLC,Kathleen Chambers,Especialista de Producto,857968448,angela24@example.org,closing,1,3,3,15900,Educación,Pequeña,40,7,0
Ramirez-Hebert,Amber Anderson,Especialista de Producto,493544841,craig33@example.net,closing,1,1,1,21712,Servicios,Pequeña,15,3,0
"Moore, Miller and Schneider",Melinda Cooper,Ejecutivo de Ventas,101004164,alicia16@example.org,negotiating,0,2,4,46256,Manufactura,Pequeña,22,6,0
Williams Inc,Sydney Schmitt,Especialista de Producto,745108506,owright@example.com,qualifying,1,3,0,32862,Tecnología,Mediana,20,4,0
Ortiz-English,Bradley Lopez,CEO,240516243,catherine28@example.org,selling,2,1,1,45769,Tecnología,Mediana,40,4,0
"Swanson, Lynch and Carter",Christopher Griffin,Gerente de Marketing,733854228,xcochran@example.org,negotiating,6,3,0,38072,Tecnología,Pequeña,25,9,0
Johnson Inc,Derrick Mcgee,Especialista de Producto,312014873,nicholasbautista@example.com,closing,0,1,3,47436,Educación,Grande,27,4,0
"Adams, Hardy and Wolf",Jeffrey Boone,Consultor,766527393,paulwall@example.net,qualifying,2,1,0,45507,Educación,Pequeña,27,3,0
Velez Group,Laura Dillon,Gerente de Marketing,648751572,diazhannah@example.org,closing,5,2,1,1163,Salud,Pequeña,28,8,0
Taylor LLC,Sylvia Houston,Consultor,314744447,rosaleschelsea@example.org,qualifying,3,1,1,41018,Tecnología,Mediana,24,5,0
Love PLC,Omar Miller,Consultor,353892224,patricksmith@example.org,qualifying,9,2,3,12088,Manufactura,Mediana,29,14,1
Potts-Gonzales,Ashley Perez,Gerente de Marketing,939286306,davidsonalicia@example.org,closing,5,1,0,43831,Educación,Pequeña,34,6,0
Brown Group,Brooke Warner,Analista,108017904,kaitlynmaddox@example.com,closing,4,5,0,14771,Educación,Grande,16,9,0
Howell-Cohen,Diane Cooper,Analista,568872268,karendelacruz@example.org,qualifying,3,1,1,33040,Retail,Grande,12,5,0
Jackson-Chen,Dylan Conner,Consultor,331494209,william55@example.com,qualifying,7,4,0,24801,Salud,Mediana,11,11,0
Sanders-Sanchez,April Anthony,Consultor,247667924,sgould@example.org,qualifying,7,2,2,10318,Retail,Mediana,43,11,0
"Stewart, Andrews and Mullins",Dominic Hill,Analista,463619620,martinlisa@example.net,negotiating,2,3,3,10205,Servicios,Pequeña,44,8,0
"Fletcher, Ball and Ramirez",Nicholas Wang,Consultor,866761817,yolanda81@example.net,closing,1,2,0,34865,Retail,Grande,41,3,0
Mejia-Sanchez,Kristy Terry,Consultor,132465986,ifischer@example.net,closing,3,2,1,8566,Manufactura,Pequeña,5,6,0
Gallagher Ltd,Jonathan Taylor,Gerente de Marketing,312835475,fordvictor@example.org,closing,5,0,0,8674,Manufactura,Mediana,47,5,0
Coleman and Sons,Philip Cole,Gerente de Marketing,098081371,barnesjeremy@example.com,selling,5,2,0,49552,Salud,Grande,24,7,0
Boyd Ltd,David Ritter,Consultor,228806022,gregory12@example.net,selling,8,1,2,38821,Educación,Pequeña,18,11,0
"Garrett, Rhodes and Harvey",Bryan Spencer,Especialista de Producto,068149991,daniel40@example.org,qualifying,11,1,0,2544,Tecnología,Pequeña,29,12,0
"Armstrong, Baker and Wiley",Cristina Hernandez,Ejecutivo de Ventas,231276889,ryan52@example.net,closing,1,2,0,2993,Educación,Pequeña,28,3,0
"Flynn, Wilson and Lee",Brian Dawson,Especialista de Producto,450166779,thomasregina@example.com,closing,6,2,0,34020,Educación,Grande,33,8,0
Ford Ltd,Denise Mcdonald,Especialista de Producto,181938347,wongkathryn@example.net,negotiating,0,2,0,938,Salud,Mediana,12,2,0
Montgomery-Reed,April Knight,Gerente de Marketing,315888504,justin69@example.net,negotiating,0,2,0,46967,Salud,Grande,19,2,0
Vasquez-Hamilton,Megan Blanchard,CEO,939777048,laura13@example.org,negotiating,3,1,1,6050,Tecnología,Pequeña,25,5,0
Baldwin-Moore,Christopher Cohen,Especialista de Producto,345553762,keithhorton@example.org,negotiating,3,0,0,28115,Retail,Mediana,15,3,0
Mendoza-Buchanan,Michael Burns,Especialista de Producto,851037347,belldarryl@example.com,qualifying,4,0,1,9086,Educación,Grande,26,5,0
"Yu, Davis and Jones",Sharon Kent,CTO,685137691,carolshea@example.net,negotiating,2,2,0,15845,Tecnología,Grande,35,4,0
Ross Ltd,Marisa Adkins,CEO,353364312,hendersonmelissa@example.com,negotiating,3,5,0,23083,Retail,Pequeña,7,8,0
Hess-Dillon,Patrick Smith,Ejecutivo de Ventas,494815988,kelly37@example.org,selling,5,2,0,34047,Salud,Pequeña,3,7,0
Smith Inc,Tami Murillo,Especialista de Producto,080523968,hollyfernandez@example.com,closing,7,1,0,32885,Tecnología,Pequeña,42,8,0
Hendrix-Miranda,Tammy Gordon,CEO,821191135,lisabailey@example.org,closing,3,2,2,3564,Educación,Mediana,31,7,0
"Smith, Hill and Jackson",Jorge Perkins,CTO,588232901,thernandez@example.net,selling,1,1,1,2739,Servicios,Pequeña,1,3,0
Crane-Duncan,Ralph Austin,Ejecutivo de Ventas,873036131,zhangrobert@example.com,negotiating,4,1,0,44748,Servicios,Grande,47,5,0
Holt Group,David Jones,Analista,379650282,kennedybrenda@example.org,qualifying,1,7,2,18771,Retail,Grande,26,10,0
Martin LLC,Rachel Le,Ejecutivo de Ventas,524105648,xgibson@example.org,qualifying,8,2,2,11142,Salud,Grande,1,12,1
Baker-Chaney,Ryan Brown,Analista,850228946,jessica23@example.org,selling,2,4,2,21491,Manufactura,Mediana,21,8,1
Davis-Gibson,Dr. Bonnie Jones MD,Especialista de Producto,931568905,billy84@example.com,closing,1,3,0,32933,Educación,Grande,3,4,0
Anderson-Fernandez,Teresa Carpenter,Especialista de Producto,473397008,ericarichard@example.com,negotiating,2,0,0,20207,Tecnología,Mediana,36,2,0
"Allison, Yang and Mueller",Anthony Walsh,CTO,669148863,laurie42@example.net,selling,2,4,4,32856,Educación,Grande,6,10,0
Warren LLC,Kevin Bowers,Gerente de Marketing,624816444,fletchercurtis@example.org,qualifying,6,0,2,43019,Salud,Mediana,40,8,0
Ray Group,Alicia Smith,Consultor,527275525,monicaaguilar@example.org,negotiating,3,1,0,23564,Educación,Pequeña,22,4,0
Davis and Sons,Emily Espinoza,CEO,356178170,aaronrodriguez@example.com,closing,3,0,1,13426,Tecnología,Pequeña,3,4,1
Savage-Bryant,Dominic Allen,Gerente de Marketing,978821439,smithrita@example.com,closing,7,6,0,26347,Retail,Grande,3,13,0
Smith Inc,Mr. Devin Matthews,Gerente de Marketing,905310202,barryhunter@example.com,selling,1,4,1,12522,Tecnología,Mediana,36,6,0
Smith Inc,Susan Cummings,Ejecutivo de Ventas,964660321,padillaian@example.org,qualifying,4,1,4,48916,Tecnología,Mediana,31,9,0
"Murphy, Stuart and Hamilton",Wesley Fox,Analista,357046374,francosara@example.com,qualifying,0,2,0,39701,Educación,Mediana,8,2,0
Klein-Oliver,Michael Key,CTO,987908966,daniel52@example.net,closing,0,1,1,39394,Tecnología,Grande,24,2,0
West-Acosta,Amy Berry,CTO,655051069,christian67@example.org,qualifying,4,2,2,43170,Tecnología,Mediana,42,8,0
Hamilton-Phillips,Matthew Chen PhD,Consultor,061228324,cindyreynolds@example.org,negotiating,3,1,0,156,Servicios,Pequeña,26,4,0
"Hess, Werner and Andrews",Derrick James,Ejecutivo de Ventas,143363784,arobinson@example.net,selling,1,3,0,36141,Servicios,Mediana,42,4,0
"Huff, Fleming and Bridges",Kevin Walker,Analista,952287512,crawfordkevin@example.net,negotiating,10,2,0,5127,Retail,Grande,36,12,0
"Johnson, Snyder and Sandoval",Tamara Carlson,Especialista de Producto,533270830,srandolph@example.com,selling,3,2,2,24883,Educación,Grande,45,7,0
Campbell Ltd,Justin Adams,CEO,735821441,matthew06@example.net,qualifying,10,0,0,31339,Manufactura,Mediana,21,10,0
"Lang, Castillo and Kim",Cynthia Wilson,Gerente de Marketing,254284476,bryanramirez@example.org,selling,4,3,0,32299,Tecnología,Pequeña,36,7,0
"Hansen, Watkins and Lopez",Mark Sherman,Analista,323288579,jbrown@example.org,negotiating,6,2,1,26939,Retail,Mediana,23,9,0
Miller-Cobb,Jacob Sanchez,Consultor,189527836,javier03@example.org,closing,2,1,1,25423,Manufactura,Mediana,30,4,0
Romero-Garcia,John Beard,Ejecutivo de Ventas,164085892,sandramorse@example.org,qualifying,3,4,0,10955,Retail,Grande,24,7,0
"Meyer, Moore and Alexander",Stephanie Hayes,Consultor,270192467,eharris@example.org,closing,6,5,1,50617,Retail,Pequeña,27,12,0
"Gray, Bell and Thompson",Jose Whitehead,Especialista de Producto,022511702,iowens@example.com,selling,4,1,0,13066,Tecnología,Grande,1,5,0
"Graham, Mccoy and Tapia",Mark Walsh,CTO,773315263,xfoley@example.org,negotiating,5,1,0,42023,Retail,Grande,21,6,0
Shaffer PLC,Jason Johnston,Analista,796441603,ruizandrew@example.org,closing,4,2,0,44103,Educación,Pequeña,38,6,0
Smith-Davis,Theresa Montoya,Consultor,247312616,brownmichael@example.net,closing,4,3,1,16540,Tecnología,Pequeña,6,8,1
Mcintyre-Goodwin,Stephanie Pugh,Especialista de Producto,979044476,zdawson@example.com,negotiating,1,3,1,39806,Manufactura,Pequeña,13,5,0
Johnson-Walker,Michelle Evans,Especialista de Producto,153487092,zcox@example.org,selling,6,1,0,12849,Educación,Pequeña,41,7,0
English-Williamson,Frank Chapman,Consultor,895642527,ewebster@example.org,closing,0,0,0,16883,Tecnología,Pequeña,9,0,0
Romero PLC,Travis Anderson,Gerente de Marketing,628826173,zrobinson@example.com,qualifying,5,0,1,8951,Servicios,Mediana,18,6,0
"Parker, Perez and Edwards",Jennifer Kennedy,Ejecutivo de Ventas,372992923,jsmith@example.com,qualifying,4,4,0,27472,Servicios,Mediana,44,8,0
"Martin, Koch and Hernandez",Jack Hernandez,Consultor,049671228,susan77@example.org,closing,7,3,0,15906,Educación,Grande,43,10,0
"Edwards, Collins and Williams",Deborah Tran,Gerente de Marketing,709991835,jamiebrennan@example.com,negotiating,2,2,2,27737,Manufactura,Pequeña,40,6,0
"Gibbs, Martinez and Bates",Stephanie Lewis,CTO,141439441,connie15@example.net,negotiating,8,3,1,48000,Tecnología,Pequeña,39,12,0
Robertson and Sons,Richard Williams,Consultor,300662396,laura73@example.com,qualifying,4,3,1,16090,Retail,Mediana,37,8,0
"Lindsey, Brown and Peterson",Kristi Porter,CEO,193577638,jamesmyers@example.com,negotiating,2,5,0,12643,Salud,Pequeña,35,7,0
Morgan Group,Derek Chang,CEO,785847702,christophermorrison@example.com,qualifying,1,2,0,29447,Manufactura,Pequeña,43,3,0
"Douglas, Cannon and Boyer",Anthony Jackson,Analista,392921253,wedwards@example.com,closing,3,0,0,24435,Servicios,Grande,37,3,0
"Brown, Riley and Wright",Heather Cole,Gerente de Marketing,111439586,anthony98@example.com,negotiating,1,1,3,13035,Salud,Mediana,22,5,0
Taylor-Terry,Andrea Barnes,CTO,609070682,hwhite@example.net,selling,5,4,0,16836,Retail,Mediana,22,9,0
"Stafford, Powers and Perkins",Dean Stephens,CEO,950774002,kayla71@example.org,selling,4,3,2,37660,Educación,Grande,34,9,0
